id,title,categories,abstract,doi,created,updated,authors
0801.1966,symmetry of models versus models of symmetry,math.st stat.th,"a model for a subject's beliefs about a phenomenon may exhibit symmetry, in the sense that it is invariant under certain transformations. on the other hand, such a belief model may be intended to represent that the subject believes or knows that the phenomenon under study exhibits symmetry. we defend the view that these are fundamentally different things, even though the difference cannot be captured by bayesian belief models. in fact, the failure to distinguish between both situations leads to laplace's so-called principle of insufficient reason, which has been criticised extensively in the literature.   we show that there are belief models (imprecise probability models, coherent lower previsions) that generalise and include the bayesian belief models, but where this fundamental difference can be captured. this leads to two notions of symmetry for such belief models: weak invariance (representing symmetry of beliefs) and strong invariance (modelling beliefs of symmetry). we discuss various mathematical as well as more philosophical aspects of these notions. we also discuss a few examples to show the relevance of our findings both to probabilistic modelling and to statistical inference, and to the notion of exchangeability in particular.",,2008-01-13,,"['gert de cooman', 'enrique miranda']"
0801.2231,spatial modelling for mixed-state observations,math.st stat.th,"in several application fields like daily pluviometry data modelling, or motion analysis from image sequences, observations contain two components of different nature. a first part is made with discrete values accounting for some symbolic information and a second part records a continuous (real-valued) measurement. we call such type of observations ""mixed-state observations"". this paper introduces spatial models suited for the analysis of these kinds of data. we consider multi-parameter auto-models whose local conditional distributions belong to a mixed state exponential family. specific examples with exponential distributions are detailed, and we present some experimental results for modelling motion measurements from video sequences.",10.1214/08-ejs173,2008-01-15,2008-03-27,"['cécile hardouin', 'jian-feng yao']"
0802.0214,multivariate stochastic volatility with bayesian dynamic linear models,q-fin.st stat.ap stat.me,"this paper develops a bayesian procedure for estimation and forecasting of the volatility of multivariate time series. the foundation of this work is the matrix-variate dynamic linear model, for the volatility of which we adopt a multiplicative stochastic evolution, using wishart and singular multivariate beta distributions. a diagonal matrix of discount factors is employed in order to discount the variances element by element and therefore allowing a flexible and pragmatic variance modelling approach. diagnostic tests and sequential model monitoring are discussed in some detail. the proposed estimation theory is applied to a four-dimensional time series, comprising spot prices of aluminium, copper, lead and zinc of the london metal exchange. the empirical findings suggest that the proposed bayesian procedure can be effectively applied to financial data, overcoming many of the disadvantages of existing volatility models.",10.1016/j.jspi.2007.03.057,2008-02-01,,['k. triantafyllopoulos']
0802.1521,stochastic algorithm for parameter estimation for dense deformable   template mixture model,stat.co math.st stat.th,"estimating probabilistic deformable template models is a new approach in the fields of computer vision and probabilistic atlases in computational anatomy. a first coherent statistical framework modelling the variability as a hidden random variable has been given by allassonni\`ere, amit and trouv\'e in [1] in simple and mixture of deformable template models. a consistent stochastic algorithm has been introduced in [2] to face the problem encountered in [1] for the convergence of the estimation algorithm for the one component model in the presence of noise. we propose here to go on in this direction of using some ""saem-like"" algorithm to approximate the map estimator in the general bayesian setting of mixture of deformable template model. we also prove the convergence of this algorithm toward a critical point of the penalised likelihood of the observations and illustrate this with handwritten digit images.",,2008-02-11,2009-01-16,"['stéphanie allassonnière', 'estelle kuhn']"
0803.0860,l\'{e}vy-based growth models,math.st stat.th,"in the present paper, we give a condensed review, for the nonspecialist reader, of a new modelling framework for spatio-temporal processes, based on l\'{e}vy theory. we show the potential of the approach in stochastic geometry and spatial statistics by studying l\'{e}vy-based growth modelling of planar objects. the growth models considered are spatio-temporal stochastic processes on the circle. as a by product, flexible new models for space--time covariance functions on the circle are provided. an application of the l\'{e}vy-based growth models to tumour growth is discussed.",10.3150/07-bej6130,2008-03-06,,"['kristjana ýr jónsdóttir', 'jürgen schmiegel', 'eva b. vedel jensen']"
0804.4738,structural shrinkage of nonparametric spectral estimators for   multivariate time series,math.st stat.th,"in this paper we investigate the performance of periodogram based estimators of the spectral density matrix of possibly high-dimensional time series. we suggest and study shrinkage as a remedy against numerical instabilities due to deteriorating condition numbers of (kernel) smoothed periodogram matrices. moreover, shrinking the empirical eigenvalues in the frequency domain towards one another also improves at the same time the mean squared error (mse) of these widely used nonparametric spectral estimators. compared to some existing time domain approaches, restricted to i.i.d. data, in the frequency domain it is necessary to take the size of the smoothing span as ""effective or local sample size"" into account. while b\""{o}hm and von sachs (2007) proposes a multiple of the identity matrix as optimal shrinkage target in the absence of knowledge about the multidimensional structure of the data, here we consider ""structural"" shrinkage. we assume that the spectral structure of the data is induced by underlying factors. however, in contrast to actual factor modelling suffering from the need to choose the number of factors, we suggest a model-free approach. our final estimator is the asymptotically mse-optimal linear combination of the smoothed periodogram and the parametric estimator based on an underfitting (and hence deliberately misspecified) factor model. we complete our theoretical considerations by some extensive simulation studies. in the situation of data generated from a higher-order factor model, we compare all four types of involved estimators (including the one of b\""{o}hm and von sachs (2007)).",10.1214/08-ejs236,2008-04-30,2008-08-13,"['hilmar böhm', 'rainer von sachs']"
0805.2096,garch modelling in continuous time for irregularly spaced time series   data,q-fin.st math.st stat.th,"the discrete-time garch methodology which has had such a profound influence on the modelling of heteroscedasticity in time series is intuitively well motivated in capturing many `stylized facts' concerning financial series, and is now almost routinely used in a wide range of situations, often including some where the data are not observed at equally spaced intervals of time. however, such data is more appropriately analyzed with a continuous-time model which preserves the essential features of the successful garch paradigm. one possible such extension is the diffusion limit of nelson, but this is problematic in that the discrete-time garch model and its continuous-time diffusion limit are not statistically equivalent. as an alternative, kl\""{u}ppelberg et al. recently introduced a continuous-time version of the garch (the `cogarch' process) which is constructed directly from a background driving l\'{e}vy process. the present paper shows how to fit this model to irregularly spaced time series data using discrete-time garch methodology, by approximating the cogarch with an embedded sequence of discrete-time garch series which converges to the continuous-time model in a strong sense (in probability, in the skorokhod metric), as the discrete approximating grid grows finer. this property is also especially useful in certain other applications, such as options pricing. the way is then open to using, for the cogarch, similar statistical techniques to those already worked out for garch models and to illustrate this, an empirical investigation using stock index data is carried out.",10.3150/07-bej6189,2008-05-14,,"['ross a. maller', 'gernot müller', 'alex szimayer']"
0808.3466,"on sequential monte carlo, partial rejection control and approximate   bayesian computation",stat.co math.st stat.th,"we present a sequential monte carlo sampler variant of the partial rejection control algorithm, and show that this variant can be considered as a sequential monte carlo sampler with a modified mutation kernel. we prove that the new sampler can reduce the variance of the incremental importance weights when compared with standard sequential monte carlo samplers. we provide a study of theoretical properties of the new algorithm, and make connections with some existing algorithms. finally, the sampler is adapted for application under the challenging ""likelihood free,"" approximate bayesian computation modelling framework, where we demonstrate superior performance over existing likelihood-free samplers.",,2008-08-26,2009-11-11,"['g. w. peters', 'y. fan', 's. a. sisson']"
0808.4031,hybrid data regression modelling in measurement,stat.ap stat.me,"measurement involves the determination of quantitative estimates of physical quantities from experiment, along with estimates of their associated uncertainties. herewith an experimental system model is the key to extracting information from the experimental data. the measurement information obtained depends directly on the quality of the model. with this concern novel regression modelling techniques have been fashioned by data integration from computer-simulation and physical designed experiments. these techniques have allowed attaining the advanced level of model completeness, parsimony, and precision via approximation of the exact unknown model by mathematical product of available theoretical and appropriate empirical functions. the purpose of this approximation is to represent adequately the true model on the considered region of factor space with all advantages of theoretical modelling. this allows a further focus on the measurement science of issue. pneumatic gauge hybrid data candidate model building, solving and validation reviled that such adequate models permit to attain minimum discrepancy from empirical evidence.",,2008-08-29,,['vladimir b. bokov']
0808.4111,relative entropy and statistics,cs.it math.it math.st stat.th,"formalising the confrontation of opinions (models) to observations (data) is the task of inferential statistics. information theory provides us with a basic functional, the relative entropy (or kullback-leibler divergence), an asymmetrical measure of dissimilarity between the empirical and the theoretical distributions. the formal properties of the relative entropy turn out to be able to capture every aspect of inferential statistics, as illustrated here, for simplicity, on dices (= i.i.d. process with finitely many outcomes): refutability (strict or probabilistic): the asymmetry data / models; small deviations: rejecting a single hypothesis; competition between hypotheses and model selection; maximum likelihood: model inference and its limits; maximum entropy: reconstructing partially observed data; em-algorithm; flow data and gravity modelling; determining the order of a markov chain.",,2008-08-29,2010-04-03,['françois bavaud']
0809.2932,stability selection,stat.me,"estimation of structure, such as in variable selection, graphical modelling or cluster analysis is notoriously difficult, especially for high-dimensional data. we introduce stability selection. it is based on subsampling in combination with (high-dimensional) selection algorithms. as such, the method is extremely general and has a very wide range of applicability. stability selection provides finite sample control for some error rates of false discoveries and hence a transparent principle to choose a proper amount of regularisation for structure estimation. variable selection and structure estimation improve markedly for a range of selection methods if stability selection is applied. we prove for randomised lasso that stability selection will be variable selection consistent even if the necessary conditions needed for consistency of the original lasso method are violated. we demonstrate stability selection for variable selection and gaussian graphical modelling, using real and simulated data.",,2008-09-17,2009-05-16,"['nicolai meinshausen', 'peter buehlmann']"
0812.2548,copulas for markovian dependence,math.pr math.st stat.th,"copulas have been popular to model dependence for multivariate distributions, but have not been used much in modelling temporal dependence of univariate time series. this paper demonstrates some difficulties with using copulas even for markov processes: some tractable copulas such as mixtures between copulas of complete co- and countermonotonicity and independence (fr\'{e}chet copulas) are shown to imply quite a restricted type of markov process and archimedean copulas are shown to be incompatible with markov chains. we also investigate markov chains that are spreadable or, equivalently, conditionally i.i.d.",10.3150/09-bej214,2008-12-13,2010-10-08,['andreas n. lagerås']
0901.1518,second-order refined peaks-over-threshold modelling for heavy-tailed   distributions,math.st stat.th,"modelling excesses over a high threshold using the pareto or generalized pareto distribution (pd/gpd) is the most popular approach in extreme value statistics. this method typically requires high thresholds in order for the (g)pd to fit well and in such a case applies only to a small upper fraction of the data. the extension of the (g)pd proposed in this paper is able to describe the excess distribution for lower thresholds in case of heavy tailed distributions. this yields a statistical model that can be fitted to a larger portion of the data. moreover, estimates of tail parameters display stability for a larger range of thresholds. our findings are supported by asymptotic results, simulations and a case study.",,2009-01-12,,"['jan beirlant', 'elisabeth joossens', 'johan segers']"
0902.1598,p-order rounded integer-valued autoregressive (rinar(p)) process,stat.me math.st stat.th,"an extension of the rinar(1) process for modelling discrete-time dependent counting processes is considered. the model rinar(p) investigated here is a direct and natural extension of the real ar(p) model. compared to classical inar(p) models based on the thinning operator, the new models have several advantages: simple innovation structure ; autoregressive coefficients with arbitrary signs ; possible negative values for time series ; possible negative values for the autocorrelation function. the conditions for the stationarity and ergodicity, of the rinar(p) model, are given. for parameter estimation, we consider the least squares estimator and we prove its consistency under suitable identifiability condition. simulation experiments as well as analysis of real data sets are carried out to assess the performance of the model.",,2009-02-10,,['m. kachour']
0903.2651,perfect simulation of spatial point processes using dominated coupling   from the past with application to a multiscale area-interaction point process,stat.me stat.ap stat.co,"we consider perfect simulation algorithms for locally stable point processes based on dominated coupling from the past. a version of the algorithm is developed which is feasible for processes which are neither purely attractive nor purely repulsive. such processes include multiscale area-interaction processes, which are capable of modelling point patterns whose clustering structure varies across scales. we prove correctness of the algorithm and existence of these processes. an application to the redwood seedlings data is discussed.",,2009-03-15,,"['graeme k. ambler', 'bernard w. silverman']"
0904.0317,"integrating remote sensing, gis and prediction models to monitor the   deforestation and erosion in peten reserve, guatemala",stat.ap,"this contribution provides a strategy for studying and modelling the deforestation and soil deterioration in the natural forest reserve of peten, guatemala, using a poor spatial database. a multispectral image processing of spot and tm landsat data permits to understand the behaviour of the past land cover dynamics; a multi-temporal analysis of normalized difference vegetation and hydric stress index, most informative rgb (according to statistical criteria) and principal components, points out the importance and the direction of environmental impacts. we gain from the remote sensing images new environmental criteria (distance from roads, oil pipe-line, dem, etc.) which influence the spatial allocation of predicted land cover probabilities. we are comparing the results of different prospective approaches (markov chains, multi criteria evaluation and cellular automata; neural networks) analysing the residues for improving the final model of future deforestation risk.",,2009-04-02,,"['roberto bruno', 'marco follador', 'martin paegelow', 'fernanda renno', 'nathalie villa']"
0905.2441,on the utility of graphics cards to perform massively parallel   simulation of advanced monte carlo methods,stat.co,"we present a case-study on the utility of graphics cards to perform massively parallel simulation of advanced monte carlo methods. graphics cards, containing multiple graphics processing units (gpus), are self-contained parallel computational devices that can be housed in conventional desktop and laptop computers. for certain classes of monte carlo algorithms they offer massively parallel simulation, with the added advantage over conventional distributed multi-core processors that they are cheap, easily accessible, easy to maintain, easy to code, dedicated local devices with low power consumption. on a canonical set of stochastic simulation examples including population-based markov chain monte carlo methods and sequential monte carlo methods, we find speedups from 35 to 500 fold over conventional single-threaded computer code. our findings suggest that gpus have the potential to facilitate the growth of statistical modelling into complex data rich domains through the availability of cheap and accessible many-core computation. we believe the speedup we observe should motivate wider use of parallelizable simulation methods and greater methodological attention to their design.",10.1198/jcgs.2010.10039,2009-05-14,2009-07-15,"['anthony lee', 'christopher yau', 'michael b. giles', 'arnaud doucet', 'christopher c. holmes']"
0906.2530,"observed universality of phase transitions in high-dimensional geometry,   with implications for modern data analysis and signal processing",math.st cs.it math.it physics.data-an stat.co stat.th,"we review connections between phase transitions in high-dimensional combinatorial geometry and phase transitions occurring in modern high-dimensional data analysis and signal processing. in data analysis, such transitions arise as abrupt breakdown of linear model selection, robust data fitting or compressed sensing reconstructions, when the complexity of the model or the number of outliers increases beyond a threshold. in combinatorial geometry these transitions appear as abrupt changes in the properties of face counts of convex polytopes when the dimensions are varied. the thresholds in these very different problems appear in the same critical locations after appropriate calibration of variables.   these thresholds are important in each subject area: for linear modelling, they place hard limits on the degree to which the now-ubiquitous high-throughput data analysis can be successful; for robustness, they place hard limits on the degree to which standard robust fitting methods can tolerate outliers before breaking down; for compressed sensing, they define the sharp boundary of the undersampling/sparsity tradeoff in undersampling theorems.   existing derivations of phase transitions in combinatorial geometry assume the underlying matrices have independent and identically distributed (iid) gaussian elements. in applications, however, it often seems that gaussianity is not required. we conducted an extensive computational experiment and formal inferential analysis to test the hypothesis that these phase transitions are {\it universal} across a range of underlying matrix ensembles. the experimental results are consistent with an asymptotic large-$n$ universality across matrix ensembles; finite-sample universality can be rejected.",10.1098/rsta.2009.0152,2009-06-14,,"['david l. donoho', 'jared tanner']"
0907.3220,inter genre similarity modelling for automatic music genre   classification,cs.sd cs.ai stat.ml,"music genre classification is an essential tool for music information retrieval systems and it has been finding critical applications in various media platforms. two important problems of the automatic music genre classification are feature extraction and classifier design. this paper investigates inter-genre similarity modelling (igs) to improve the performance of automatic music genre classification. inter-genre similarity information is extracted over the mis-classified feature population. once the inter-genre similarity is modelled, elimination of the inter-genre similarity reduces the inter-genre confusion and improves the identification rates. inter-genre similarity modelling is further improved with iterative igs modelling(iigs) and score modelling for igs elimination(smigs). experimental results with promising classification improvements are provided.",,2009-07-18,,"['ulas bagci', 'engin erzin']"
0907.5151,locally stationary long memory estimation,math.st stat.th,"there exists a wide literature on modelling strongly dependent time series using a longmemory parameter d, including more recent work on semiparametric wavelet estimation. as a generalization of these latter approaches, in this work we allow the long-memory parameter d to be varying over time. we embed our approach into the framework of locally stationary processes. we show weak consistency and a central limit theorem for our log-regression wavelet estimator of the time-dependent d in a gaussian context. both simulations and a real data example complete our work on providing a fairly general approach.",,2009-07-29,2010-05-31,"['françois roueff', 'rainer von sachs']"
0908.0050,online learning for matrix factorization and sparse coding,stat.ml cs.lg math.oc,"sparse coding--that is, modelling data vectors as sparse linear combinations of basis elements--is widely used in machine learning, neuroscience, signal processing, and statistics. this paper focuses on the large-scale matrix factorization problem that consists of learning the basis set, adapting it to specific data. variations of this problem include dictionary learning in signal processing, non-negative matrix factorization and sparse principal component analysis. in this paper, we propose to address these tasks with a new online optimization algorithm, based on stochastic approximations, which scales up gracefully to large datasets with millions of training samples, and extends naturally to various matrix factorization formulations, making it suitable for a wide range of learning problems. a proof of convergence is presented, along with experiments with natural images and genomic data demonstrating that it leads to state-of-the-art performance in terms of speed and optimization for both small and large datasets.",,2009-08-01,2010-02-11,"['julien mairal', 'francis bach', 'jean ponce', 'guillermo sapiro']"
0908.2359,online em algorithm for hidden markov models,stat.co stat.ml,"online (also called ""recursive"" or ""adaptive"") estimation of fixed model parameters in hidden markov models is a topic of much interest in times series modelling. in this work, we propose an online parameter estimation algorithm that combines two key ideas. the first one, which is deeply rooted in the expectation-maximization (em) methodology consists in reparameterizing the problem using complete-data sufficient statistics. the second ingredient consists in exploiting a purely recursive form of smoothing in hmms based on an auxiliary recursion. although the proposed online em algorithm resembles a classical stochastic approximation (or robbins-monro) algorithm, it is sufficiently different to resist conventional analysis of convergence. we thus provide limited results which identify the potential limiting points of the recursion as well as the large-sample behavior of the quantities involved in the algorithm. the performance of the proposed algorithm is numerically evaluated through simulations in the case of a noisily observed markov chain. in this case, the algorithm reaches estimation results that are comparable to that of the maximum likelihood estimator for large sample sizes.",,2009-08-17,2011-02-15,['olivier cappé']
0909.5299,parameter estimation for multivariate diffusion systems,stat.me,"diffusion processes are widely used for modelling real-world phenomena. except for select cases however, analytical expressions do not exist for a diffusion process' transitional probabilities. it is proposed that the cumulant truncation procedure can be applied to predict the evolution of the cumulants of the system. these predictions may be subsequently used within the saddlepoint procedure to approximate the transitional probabilities. an approximation to the likelihood of the diffusion system is then easily derived. the method is applicable for a wide-range of diffusion systems - including multivariate, irreducible diffusion systems that existing estimation schemes struggle with. not only is the accuracy of the saddlepoint comparable with the hermite expansion - a popular approximation to a diffusion system's transitional density - it also appears to be less susceptible to increasing lags between successive samplings of the diffusion process. furthermore, the saddlepoint is more stable in regions of the parameter space that are far from the maximum likelihood estimates. hence, the saddlepoint method can be naturally incorporated within a markov chain monte carlo (mcmc) routine in order to provide reliable estimates and credibility intervals of the diffusion model's parameters. the method is applied to fit the heston model to daily observations of the s&p 500 and vix indices from december 2009 to november 2010.",,2009-09-29,2012-09-13,['melvin m. varughese']
0910.4443,stochastic epidemic models: a survey,math.pr math.st stat.ap stat.me stat.th,"this paper is a survey paper on stochastic epidemic models. a simple stochastic epidemic model is defined and exact and asymptotic model properties (relying on a large community) are presented. the purpose of modelling is illustrated by studying effects of vaccination and also in terms of inference procedures for important parameters, such as the basic reproduction number and the critical vaccination coverage. several generalizations towards realism, e.g. multitype and household epidemic models, are also presented, as is a model for endemic diseases.",,2009-10-23,,['tom britton']
0910.5185,nonparametric methods for volatility density estimation,stat.me math.st q-fin.st stat.th,"stochastic volatility modelling of financial processes has become increasingly popular. the proposed models usually contain a stationary volatility process. we will motivate and review several nonparametric methods for estimation of the density of the volatility process. both models based on discretely sampled continuous time processes and discrete time models will be discussed.   the key insight for the analysis is a transformation of the volatility density estimation problem to a deconvolution model for which standard methods exist. three type of nonparametric density estimators are reviewed: the fourier-type deconvolution kernel density estimator, a wavelet deconvolution density estimator and a penalized projection estimator. the performance of these estimators will be compared. key words: stochastic volatility models, deconvolution, density estimation, kernel estimator, wavelets, minimum contrast estimation, mixing",,2009-10-27,,"['bert van es', 'peter spreij', 'harry van zanten']"
