"","id","title","categories","abstract","doi","created","updated","authors","one_l","astro.ph","cond.mat","gr.qc","hep.ex","hep.lat","hep.ph","hep.th","math.ph","nlin","nucl.ex","nucl.th","physics","quant.ph","math","CoRR","q.bio","q.fin","stat","stat.ap","stat.co","stat.ml","stat.me","stat.ot","stat.th"
"11",708.0362,"on the statistical modeling and analysis of repairable systems","stat.me","we review basic modeling approaches for failure and maintenance data from repairable systems. in particular we consider imperfect repair models, defined in terms of virtual age processes, and the trend-renewal process which extends the nonhomogeneous poisson process and the renewal process. in the case where several systems of the same kind are observed, we show how observed covariates and unobserved heterogeneity can be included in the models. we also consider various approaches to trend testing. modern reliability data bases usually contain information on the type of failure, the type of maintenance and so forth in addition to the failure times themselves. basing our work on recent literature we present a framework where the observed events are modeled as marked point processes, with marks labeling the types of events. throughout the paper the emphasis is more on modeling than on statistical inference.","10.1214/088342306000000448","2007-08-02","","['bo henry lindqvist']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"12",708.0471,"quantile regression with varying coefficients","math.st stat.th","quantile regression provides a framework for modeling statistical quantities of interest other than the conditional mean. the regression methodology is well developed for linear models, but less so for nonparametric models. we consider conditional quantiles with varying coefficients and propose a methodology for their estimation and assessment using polynomial splines. the proposed estimators are easy to compute via standard quantile regression algorithms and a stepwise knot selection algorithm. the proposed rao-score-type test that assesses the model against a linear model is also easy to implement. we provide asymptotic results on the convergence of the estimators and the null distribution of the test statistic. empirical results are also provided, including an application of the methodology to forced expiratory volume (fev) data.","10.1214/009053606000000966","2007-08-03","","['mi-ok kim']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"13",708.1929,"rank-based estimation for all-pass time series models","math.st stat.th","an autoregressive-moving average model in which all roots of the autoregressive polynomial are reciprocals of roots of the moving average polynomial and vice versa is called an all-pass time series model. all-pass models are useful for identifying and modeling noncausal and noninvertible autoregressive-moving average processes. we establish asymptotic normality and consistency for rank-based estimators of all-pass model parameters. the estimators are obtained by minimizing the rank-based residual dispersion function given by jaeckel [ann. math. statist. 43 (1972) 1449--1458]. these estimators can have the same asymptotic efficiency as maximum likelihood estimators and are robust. the behavior of the estimators for finite samples is studied via simulation and rank estimation is used in the deconvolution of a simulated water gun seismogram.","10.1214/009053606000001316","2007-08-14","","['beth andrews', 'richard a. davis', 'f. jay breidt']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"14",709.0394,"spatial variation of total column ozone on a global scale","stat.ap","the spatial dependence of total column ozone varies strongly with latitude, so that homogeneous models (invariant to all rotations) are clearly unsuitable. however, an assumption of axial symmetry, which means that the process model is invariant to rotations about the earth's axis, is much more plausible and considerably simplifies the modeling. using toms (total ozone mapping spectrometer) measurements of total column ozone over a six-day period, this work investigates the modeling of axially symmetric processes on the sphere using expansions in spherical harmonics. it turns out that one can capture many of the large scale features of the spatial covariance structure using a relatively small number of terms in such an expansion, but the resulting fitted model provides a horrible fit to the data when evaluated via its likelihood because of its inability to describe accurately the process's local behavior. thus, there remains the challenge of developing computationally tractable models that capture both the large and small scale structure of these data.","10.1214/07-aoas106","2007-09-04","","['michael l. stein']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",709.0427,"a multivariate semiparametric bayesian spatial modeling framework for   hurricane surface wind fields","stat.ap","storm surge, the onshore rush of sea water caused by the high winds and low pressure associated with a hurricane, can compound the effects of inland flooding caused by rainfall, leading to loss of property and loss of life for residents of coastal areas. numerical ocean models are essential for creating storm surge forecasts for coastal areas. these models are driven primarily by the surface wind forcings. currently, the gridded wind fields used by ocean models are specified by deterministic formulas that are based on the central pressure and location of the storm center. while these equations incorporate important physical knowledge about the structure of hurricane surface wind fields, they cannot always capture the asymmetric and dynamic nature of a hurricane. a new bayesian multivariate spatial statistical modeling framework is introduced combining data with physical knowledge about the wind fields to improve the estimation of the wind vectors. many spatial models assume the data follow a gaussian distribution. however, this may be overly-restrictive for wind fields data which often display erratic behavior, such as sudden changes in time or space. in this paper we develop a semiparametric multivariate spatial model for these data. our model builds on the stick-breaking prior, which is frequently used in bayesian modeling to capture uncertainty in the parametric form of an outcome. the stick-breaking prior is extended to the spatial setting by assigning each location a different, unknown distribution, and smoothing the distributions in space with a series of kernel functions. this semiparametric spatial model is shown to improve prediction compared to usual bayesian kriging methods for the wind field of hurricane ivan.","10.1214/07-aoas108","2007-09-04","","['brian j. reich', 'montserrat fuentes']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",709.2943,"on birnbaum-saunders inference","stat.me math.st stat.th","the birnbaum-saunders distribution, also known as the fatigue-life distribution, is frequently used in reliability studies. we obtain adjustments to the birnbaum--saunders profile likelihood function. the modified versions of the likelihood function were obtained for both the shape and scale parameters, i.e., we take the shape parameter to be of interest and the scale parameter to be of nuisance, and then consider the situation in which the interest lies in performing inference on the scale parameter with the shape parameter entering the modeling in nuisance fashion. modified profile maximum likelihood estimators are obtained by maximizing the corresponding adjusted likelihood functions. we present numerical evidence on the finite sample behavior of the different estimators and associated likelihood ratio tests. the results favor the adjusted estimators and tests we propose. a novel aspect of the profile likelihood adjustments obtained in this paper is that they yield improved point estimators and tests. the two profile likelihood adjustments work well when inference is made on the shape parameter, and one of them displays superior behavior when it comes to performing hypothesis testing inference on the scale parameter. two empirical applications are briefly presented.","","2007-09-18","2008-04-06","['audrey h. m. a. cysneiros', 'francisco cribari-neto', 'carlos a. g. araujo']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"17",709.3545,"locally adaptive nonparametric binary regression","stat.me","a nonparametric and locally adaptive bayesian estimator is proposed for estimating a binary regression. flexibility is obtained by modeling the binary regression as a mixture of probit regressions with the argument of each probit regression having a thin plate spline prior with its own smoothing parameter and with the mixture weights depending on the covariates. the estimator is compared to a single spline estimator and to a recently proposed locally adaptive estimator. the methodology is illustrated by applying it to both simulated and real examples.","","2007-09-21","","['sally wood', 'robert kohn', 'remy cottet', 'wenxin jiang', 'martin tanner']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"18",710.2245,"size, power and false discovery rates","math.st stat.th","modern scientific technology has provided a new class of large-scale simultaneous inference problems, with thousands of hypothesis tests to consider at the same time. microarrays epitomize this type of technology, but similar situations arise in proteomics, spectroscopy, imaging, and social science surveys. this paper uses false discovery rate methods to carry out both size and power calculations on large-scale problems. a simple empirical bayes approach allows the false discovery rate (fdr) analysis to proceed with a minimum of frequentist or bayesian modeling assumptions. closed-form accuracy formulas are derived for estimated false discovery rates, and used to compare different methodologies: local or tail-area fdr's, theoretical, permutation, or empirical null hypothesis estimates. two microarray data sets as well as simulations are used to evaluate the methodology, the power diagnostics showing why nonnull cases might easily fail to appear on a list of ``significant'' discoveries.","10.1214/009053606000001460","2007-10-11","","['bradley efron']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"19",710.4536,"bayesian treed gaussian process models with an application to computer   modeling","stat.me stat.ap stat.co","motivated by a computer experiment for the design of a rocket booster, this paper explores nonstationary modeling methodologies that couple stationary gaussian processes with treed partitioning. partitioning is a simple but effective method for dealing with nonstationarity. the methodological developments and statistical computing details which make this approach efficient are described in detail. in addition to providing an analysis of the rocket booster simulator, our approach is demonstrated to be effective in other arenas.","","2007-10-24","2009-03-17","['robert b. gramacy', 'herbert k. h. lee']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"20",710.4614,"a family of generalized beta distributions for income","stat.me","the mathematical properties of a family of generalized beta distribution, including beta-normal, skewed-t, log-f, beta-exponential, beta-weibull distributions have recently been studied in several publications. this paper applies these distributions to the modeling of the size distribution of income and computes the maximum likelihood estimation estimates of parameters. their performances are compared to the widely used generalized beta distributions of the first and second types in terms of measures of goodness of fit.","","2007-10-25","","['j. h. sepanski', 'lingji kong']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"21",710.4618,"the use of unlabeled data in predictive modeling","stat.me","the incorporation of unlabeled data in regression and classification analysis is an increasing focus of the applied statistics and machine learning literatures, with a number of recent examples demonstrating the potential for unlabeled data to contribute to improved predictive accuracy. the statistical basis for this semisupervised analysis does not appear to have been well delineated; as a result, the underlying theory and rationale may be underappreciated, especially by nonstatisticians. there is also room for statisticians to become more fully engaged in the vigorous research in this important area of intersection of the statistical and computer sciences. much of the theoretical work in the literature has focused, for example, on geometric and structural properties of the unlabeled data in the context of particular algorithms, rather than probabilistic and statistical questions. this paper overviews the fundamental statistical foundations for predictive modeling and the general questions associated with unlabeled data, highlighting the relevance of venerable concepts of sampling design and prior specification. this theory, illustrated with a series of central illustrative examples and two substantial real data analyses, shows precisely when, why and how unlabeled data matter.","10.1214/088342307000000032","2007-10-25","","['feng liang', 'sayan mukherjee', 'mike west']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"22",710.4788,"a bayesian hierarchical model for the analysis of a longitudinal dynamic   contrast-enhanced mri cancer study","stat.ap physics.med-ph","imaging in clinical oncology trials provides a wealth of information that contributes to the drug development process, especially in early phase studies. this paper focuses on kinetic modeling in dce-mri, inspired by mixed-effects models that are frequently used in the analysis of clinical trials. instead of summarizing each scanning session as a single kinetic parameter -- such as median $\ktrans$ across all voxels in the tumor roi -- we propose to analyze all voxel time courses from all scans and across all subjects simultaneously in a single model. the kinetic parameters from the usual non-linear regression model are decomposed into unique components associated with factors from the longitudinal study; e.g., treatment, patient and voxel effects. a bayesian hierarchical model provides the framework in order to construct a data model, a parameter model, as well as prior distributions. the posterior distribution of the kinetic parameters is estimated using markov chain monte carlo (mcmc) methods. hypothesis testing at the study level for an overall treatment effect is straightforward and the patient- and voxel-level parameters capture random effects that provide additional information at various levels of resolution to allow a thorough evaluation of the clinical trial. the proposed method is validated with a breast cancer study, where the subjects were imaged before and after two cycles of chemotherapy, demonstrating the clinical potential of this method to longitudinal oncology studies.","","2007-10-25","","['volker j. schmid', 'brandon whitcher', 'anwar r. padhani', 'n. jane taylor', 'guang-zhong yang']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"23",710.5009,"comment: struggles with survey weighting and regression modeling","stat.me","comment: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000177","2007-10-26","","['robert m. bell', 'michael l. cohen']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"24",710.5012,"comment: struggles with survey weighting and regression modeling","stat.me","comment: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000195","2007-10-26","","['f. jay breidt', 'jean d. opsomer']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"25",710.5013,"comment: struggles with survey weighting and regression modeling","stat.me","comment: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000186","2007-10-26","","['roderick j. little']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"26",710.5015,"comment: struggles with survey weighting and regression modeling","stat.me","comment: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000159","2007-10-26","","['sharon l. lohr']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"27",710.5016,"comment: struggles with survey weighting and regression modeling","stat.me","comment: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000168","2007-10-26","","['danny pfeffermann']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"28",710.5019,"rejoinder: struggles with survey weighting and regression modeling","stat.me","rejoinder: struggles with survey weighting and regression modeling [arxiv:0710.5005]","10.1214/088342307000000203","2007-10-26","","['andrew gelman']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"29",711.2345,"models for dependent extremes using stable mixtures","stat.me math.st stat.th","this paper unifies and extends results on a class of multivariate extreme value (ev) models studied by hougaard, crowder, and tawn. in these models both unconditional and conditional distributions are ev, and all lower-dimensional marginals and maxima belong to the class. this leads to substantial economies of understanding, analysis and prediction. one interpretation of the models is as size mixtures of ev distributions, where the mixing is by positive stable distributions. a second interpretation is as exponential-stable location mixtures (for gumbel) or as power-stable scale mixtures (for non-gumbel ev distributions). a third interpretation is through a peaks over thresholds model with a positive stable intensity. the mixing variables are used as a modeling tool and for better understanding and model checking. we study extreme value analogues of components of variance models, and new time series, spatial, and continuous parameter models for extreme values. the results are applied to data from a pitting corrosion investigation.","10.1111/j.1467-9469.2008.00613.x","2007-11-15","","['anne-laure fougères', 'john p. nolan', 'holger rootzén']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"30",711.4555,"sparse additive models","math.st stat.th","we present a new class of methods for high-dimensional nonparametric regression and classification called sparse additive models (spam). our methods combine ideas from sparse linear modeling and additive nonparametric regression. we derive an algorithm for fitting the models that is practical and effective even when the number of covariates is larger than the sample size. spam is closely related to the cosso model of lin and zhang (2006), but decouples smoothing and sparsity, enabling the use of arbitrary nonparametric smoothers. an analysis of the theoretical properties of spam is given. we also study a greedy estimator that is a nonparametric version of forward stepwise regression. empirical results on synthetic and real data are presented, showing that spam can be effective in fitting sparse nonparametric models in high dimensional data.","","2007-11-28","2008-04-08","['pradeep ravikumar', 'john lafferty', 'han liu', 'larry wasserman']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"31",712.1962,"the barista: a model for bid arrivals in online auctions","stat.ap","the arrival process of bidders and bids in online auctions is important for studying and modeling supply and demand in the online marketplace. a popular assumption in the online auction literature is that a poisson bidder arrival process is a reasonable approximation. this approximation underlies theoretical derivations, statistical models and simulations used in field studies. however, when it comes to the bid arrivals, empirical research has shown that the process is far from poisson, with early bidding and last-moment bids taking place. an additional feature that has been reported by various authors is an apparent self-similarity in the bid arrival process. despite the wide evidence for the changing bidding intensities and the self-similarity, there has been no rigorous attempt at developing a model that adequately approximates bid arrivals and accounts for these features. the goal of this paper is to introduce a family of distributions that well-approximate the bid time distribution in hard-close auctions. we call this the barista process (bid arrivals in stages) because of its ability to generate different intensities at different stages. we describe the properties of this model, show how to simulate bid arrivals from it, and how to use it for estimation and inference. we illustrate its power and usefulness by fitting simulated and real data from ebay.com. finally, we show how a poisson bidder arrival process relates to a barista bid arrival process.","10.1214/07-aoas117","2007-12-12","","['galit shmueli', 'ralph p. russo', 'wolfgang jank']",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
